v1	V(vo1)	V(vo2)
-4.760000000000112e+000	-8.895465e+000	-8.335694e-001
-4.740000000000112e+000	-8.895207e+000	-7.805780e-001
-4.720000000000113e+000	-8.894930e+000	-7.276149e-001
-4.700000000000113e+000	-8.894616e+000	-6.746989e-001
-4.680000000000113e+000	-8.894245e+000	-6.218599e-001
-4.660000000000114e+000	-8.893782e+000	-5.691449e-001
-4.640000000000114e+000	-8.893171e+000	-5.166249e-001
-4.620000000000115e+000	-8.892340e+000	-4.644021e-001
-4.600000000000115e+000	-8.891182e+000	-4.126138e-001
-4.580000000000116e+000	-8.889570e+000	-3.614330e-001
-4.560000000000116e+000	-8.887349e+000	-3.110652e-001
-4.540000000000116e+000	-8.884338e+000	-2.617524e-001
-4.520000000000117e+000	-8.880312e+000	-2.137946e-001
-4.500000000000117e+000	-8.874963e+000	-1.676015e-001
-4.480000000000118e+000	-8.867822e+000	-1.237982e-001
-4.460000000000118e+000	-8.857987e+000	-8.358666e-002
-4.440000000000119e+000	-8.844179e+000	-4.867220e-002
-4.420000000000119e+000	-8.823951e+000	-2.231566e-002
-4.400000000000119e+000	-8.795063e+000	-7.501664e-003
-4.380000000000120e+000	-8.759087e+000	-2.137310e-003
-4.360000000000120e+000	-8.720111e+000	-7.703867e-004
-4.340000000000121e+000	-8.680337e+000	-4.681512e-004
-4.320000000000121e+000	-8.640386e+000	-4.028514e-004
-4.300000000000122e+000	-8.600396e+000	-3.879466e-004
-4.280000000000122e+000	-8.560398e+000	-3.836361e-004
-4.260000000000122e+000	-8.520399e+000	-3.815495e-004
-4.240000000000123e+000	-8.480399e+000	-3.799295e-004
-4.220000000000123e+000	-8.440400e+000	-3.784075e-004
-4.200000000000124e+000	-8.400400e+000	-3.769063e-004
-4.180000000000124e+000	-8.360400e+000	-3.754097e-004
-4.160000000000125e+000	-8.320401e+000	-3.739141e-004
-4.140000000000125e+000	-8.280401e+000	-3.724189e-004
-4.120000000000125e+000	-8.240401e+000	-3.709240e-004
-4.100000000000126e+000	-8.200402e+000	-3.694292e-004
-4.080000000000126e+000	-8.160402e+000	-3.679346e-004
-4.060000000000127e+000	-8.120402e+000	-3.664401e-004
-4.040000000000127e+000	-8.080403e+000	-3.649458e-004
-4.020000000000128e+000	-8.040403e+000	-3.634515e-004
-4.000000000000128e+000	-8.000403e+000	-3.619574e-004
-3.980000000000128e+000	-7.960404e+000	-3.604633e-004
-3.960000000000128e+000	-7.920404e+000	-3.589693e-004
-3.940000000000128e+000	-7.880405e+000	-3.574753e-004
-3.920000000000128e+000	-7.840405e+000	-3.559814e-004
-3.900000000000128e+000	-7.800406e+000	-3.544875e-004
-3.880000000000128e+000	-7.760406e+000	-3.529935e-004
-3.860000000000128e+000	-7.720406e+000	-3.514996e-004
-3.840000000000128e+000	-7.680407e+000	-3.500056e-004
-3.820000000000128e+000	-7.640407e+000	-3.485115e-004
-3.800000000000128e+000	-7.600407e+000	-3.470174e-004
-3.780000000000128e+000	-7.560408e+000	-3.455232e-004
-3.760000000000128e+000	-7.520408e+000	-3.440289e-004
-3.740000000000128e+000	-7.480408e+000	-3.425344e-004
-3.720000000000128e+000	-7.440409e+000	-3.410398e-004
-3.700000000000128e+000	-7.400409e+000	-3.395450e-004
-3.680000000000128e+000	-7.360409e+000	-3.380501e-004
-3.660000000000128e+000	-7.320410e+000	-3.365549e-004
-3.640000000000128e+000	-7.280410e+000	-3.350596e-004
-3.620000000000128e+000	-7.240410e+000	-3.335640e-004
-3.600000000000128e+000	-7.200411e+000	-3.320681e-004
-3.580000000000128e+000	-7.160411e+000	-3.305720e-004
-3.560000000000128e+000	-7.120411e+000	-3.290755e-004
-3.540000000000128e+000	-7.080412e+000	-3.275788e-004
-3.520000000000128e+000	-7.040412e+000	-3.260816e-004
