time	V(vin)	V(vout)	V(n002)
1.108935403308504e-003	6.322557e+000	8.863060e+000	3.143976e+000
1.109344581172901e-003	6.342455e+000	8.821376e+000	3.137075e+000
1.109797854854023e-003	6.364449e+000	8.734043e+000	3.122580e+000
1.110234775040778e-003	6.385599e+000	8.600117e+000	3.100324e+000
1.111163889029012e-003	6.430416e+000	8.195464e+000	3.033037e+000
1.113282417471766e-003	6.531784e+000	7.159057e+000	2.860673e+000
1.115371887209890e-003	6.630628e+000	6.135786e+000	2.690491e+000
1.119550826686137e-003	6.824871e+000	4.099147e+000	2.351774e+000
1.124433639186137e-003	7.045860e+000	1.735560e+000	1.958678e+000
1.126660030639832e-003	7.144435e+000	6.648923e-001	1.780611e+000
1.127779992014617e-003	7.193495e+000	1.960107e-001	1.702634e+000
1.128495407767127e-003	7.224647e+000	4.735577e-002	1.677925e+000
1.129423419313612e-003	7.264839e+000	2.514379e-002	1.674263e+000
1.130020365108755e-003	7.290562e+000	2.511980e-002	1.674280e+000
1.130738642898430e-003	7.321378e+000	2.241049e-002	1.673855e+000
1.131750852164196e-003	7.364550e+000	2.301488e-002	1.673991e+000
1.133003559171025e-003	7.417568e+000	2.255058e-002	1.673958e+000
1.135508973184684e-003	7.522221e+000	2.270174e-002	1.674069e+000
1.139138945404203e-003	7.670534e+000	2.262378e-002	1.674178e+000
1.153787382904203e-003	8.227740e+000	2.261247e-002	1.674637e+000
1.168435820404202e-003	8.715298e+000	2.258704e-002	1.675036e+000
1.183084257904202e-003	9.129078e+000	2.257342e-002	1.675377e+000
1.197732695404202e-003	9.465579e+000	2.255144e-002	1.675651e+000
1.212381132904201e-003	9.721953e+000	2.253994e-002	1.675862e+000
1.227029570404201e-003	9.896029e+000	2.253552e-002	1.676005e+000
1.241678007904201e-003	9.986333e+000	2.253239e-002	1.676079e+000
1.256326445404200e-003	9.992101e+000	2.252764e-002	1.676083e+000
1.270974882904200e-003	9.913283e+000	2.252323e-002	1.676017e+000
1.285623320404200e-003	9.750549e+000	2.251801e-002	1.675882e+000
1.300271757904199e-003	9.505275e+000	2.251241e-002	1.675678e+000
1.314920195404199e-003	9.179537e+000	2.250631e-002	1.675407e+000
1.329568632904199e-003	8.776092e+000	2.249940e-002	1.675072e+000
1.344217070404199e-003	8.298356e+000	2.249214e-002	1.674676e+000
1.358865507904198e-003	7.750373e+000	2.248387e-002	1.674221e+000
1.373513945404198e-003	7.136782e+000	2.247532e-002	1.673711e+000
1.388162382904198e-003	6.462777e+000	2.246575e-002	1.673152e+000
1.402810820404197e-003	5.734064e+000	2.245599e-002	1.672547e+000
1.417459257904197e-003	4.956810e+000	2.244088e-002	1.671901e+000
1.432107695404197e-003	4.137597e+000	2.242001e-002	1.671220e+000
1.436990507904197e-003	3.856390e+000	2.271356e-002	1.671036e+000
1.441873320404196e-003	3.571554e+000	2.597666e-002	1.671337e+000
1.443743603078009e-003	3.461548e+000	3.093258e-002	1.672063e+000
1.443813716801136e-003	3.457414e+000	3.129597e-002	1.672119e+000
1.443893846770423e-003	3.452690e+000	3.196722e-002	1.672225e+000
1.444054106708998e-003	3.443238e+000	3.374673e-002	1.672510e+000
1.444374626586149e-003	3.424323e+000	3.895267e-002	1.673351e+000
1.445015666340449e-003	3.386453e+000	5.785520e-002	1.676440e+000
1.445904570837761e-003	3.333849e+000	1.050062e-001	1.684198e+000
1.446276742241998e-003	3.311794e+000	1.452666e-001	1.690860e+000
1.446654416349099e-003	3.289393e+000	2.227760e-001	1.703723e+000
1.447094626925229e-003	3.263261e+000	3.633132e-001	1.727075e+000
1.447596980696558e-003	3.233409e+000	5.706264e-001	1.761541e+000
1.447943632156110e-003	3.212790e+000	7.313223e-001	1.788261e+000
1.448433589601689e-003	3.183622e+000	9.669289e-001	1.827440e+000
1.448948360250002e-003	3.152945e+000	1.215107e+000	1.868709e+000
1.449977901546628e-003	3.091491e+000	1.710354e+000	1.951063e+000
1.451860823394588e-003	2.978765e+000	2.617810e+000	2.101961e+000
1.455626667090510e-003	2.752078e+000	4.446313e+000	2.406019e+000
1.460509479590510e-003	2.455880e+000	6.814467e+000	2.799813e+000
