time	V(vin)	V(vout)	V(n002)
1.100992716894890e-003	5.928200e+000	8.538441e+000	3.089747e+000
1.103466351504464e-003	6.052646e+000	8.540203e+000	3.089845e+000
1.105547265720262e-003	6.156204e+000	8.553690e+000	3.092069e+000
1.105960814955049e-003	6.176660e+000	8.564266e+000	3.093775e+000
1.106296182366265e-003	6.193218e+000	8.580965e+000	3.096359e+000
1.107017003604603e-003	6.228714e+000	8.653561e+000	3.108719e+000
1.107586195008744e-003	6.256652e+000	8.733229e+000	3.122229e+000
1.108309104366842e-003	6.292021e+000	8.837031e+000	3.139613e+000
1.108549364243452e-003	6.303747e+000	8.866427e+000	3.144834e+000
1.108734502523614e-003	6.312773e+000	8.879857e+000	3.147491e+000
1.108933973946550e-003	6.322488e+000	8.872252e+000	3.147113e+000
1.109207744629344e-003	6.335806e+000	8.812533e+000	3.138890e+000
1.109515250221889e-003	6.350742e+000	8.676515e+000	3.115764e+000
1.109707491920762e-003	6.360068e+000	8.557953e+000	3.092492e+000
1.109823675587762e-003	6.365700e+000	8.480968e+000	3.080997e+000
1.109916850574226e-003	6.370214e+000	8.413665e+000	3.069853e+000
1.110019293551203e-003	6.375174e+000	8.328275e+000	3.055192e+000
1.110124312591208e-003	6.380256e+000	8.233739e+000	3.039667e+000
1.110240145626157e-003	6.385859e+000	8.122924e+000	3.021110e+000
1.110383874592182e-003	6.392806e+000	7.979026e+000	2.997023e+000
1.111027513168559e-003	6.423852e+000	7.324947e+000	2.887999e+000
1.111671151744936e-003	6.454793e+000	6.680287e+000	2.780457e+000
1.112314790321314e-003	6.485627e+000	6.045045e+000	2.674397e+000
1.112958428897691e-003	6.516355e+000	5.419222e+000	2.569819e+000
1.113602067474068e-003	6.546977e+000	4.802818e+000	2.466721e+000
1.114245706050445e-003	6.577492e+000	4.195832e+000	2.365106e+000
1.114889344626823e-003	6.607902e+000	3.598265e+000	2.264972e+000
1.115882720818713e-003	6.654620e+000	2.715616e+000	2.117477e+000
1.116911885956627e-003	6.702748e+000	1.898602e+000	1.973406e+000
1.117385242643677e-003	6.724791e+000	1.640544e+000	1.936244e+000
1.117831079957322e-003	6.745497e+000	1.517748e+000	1.916990e+000
1.118368155161398e-003	6.770370e+000	1.446739e+000	1.906120e+000
1.118907184182656e-003	6.795257e+000	1.414397e+000	1.902410e+000
1.119171279001834e-003	6.807421e+000	1.406287e+000	1.900900e+000
1.119431387797018e-003	6.819384e+000	1.400850e+000	1.900250e+000
1.119489758706198e-003	6.822066e+000	1.397805e+000	1.899937e+000
1.119527633496376e-003	6.823805e+000	1.392993e+000	1.899167e+000
1.119560296970387e-003	6.825305e+000	1.385353e+000	1.897848e+000
1.119594637862252e-003	6.826882e+000	1.373368e+000	1.896038e+000
1.119637808926806e-003	6.828864e+000	1.353525e+000	1.892597e+000
1.119731693933447e-003	6.833172e+000	1.298985e+000	1.883543e+000
1.119854922210724e-003	6.838823e+000	1.214885e+000	1.869537e+000
1.120049616819444e-003	6.847744e+000	1.071617e+000	1.845677e+000
1.120397984610656e-003	6.863678e+000	8.050021e-001	1.801280e+000
1.120691334228463e-003	6.877071e+000	5.766641e-001	1.763160e+000
1.120990783882715e-003	6.890718e+000	3.420001e-001	1.724035e+000
1.121506729469685e-003	6.914175e+000	-6.230838e-002	1.656421e+000
1.122141015380585e-003	6.942913e+000	-5.547319e-001	1.574154e+000
1.122941259525032e-003	6.979012e+000	-1.165393e+000	1.472106e+000
1.123814370443360e-003	7.018196e+000	-1.811967e+000	1.363494e+000
1.125560592280017e-003	7.095931e+000	-3.049303e+000	1.155248e+000
1.127420294325468e-003	7.177777e+000	-4.263433e+000	9.479557e-001
1.131139698416371e-003	7.338519e+000	-6.372561e+000	5.839552e-001
1.134929345014638e-003	7.498174e+000	-8.211767e+000	2.973721e-001
1.135324587842477e-003	7.514582e+000	-8.357854e+000	2.735885e-001
1.135851578279594e-003	7.536387e+000	-8.526662e+000	2.440728e-001
1.136896703631153e-003	7.579387e+000	-8.808208e+000	1.955798e-001
1.137292494687216e-003	7.595586e+000	-8.870156e+000	1.860735e-001
1.137802412654628e-003	7.616386e+000	-8.890412e+000	1.846597e-001
1.138628017895880e-003	7.649900e+000	-8.890684e+000	1.848391e-001
1.139453623137131e-003	7.683205e+000	-8.890890e+000	1.849727e-001
1.140279228378383e-003	7.716303e+000	-8.891031e+000	1.850603e-001
1.141104833619634e-003	7.749193e+000	-8.891107e+000	1.851020e-001
1.141930438860886e-003	7.781875e+000	-8.891118e+000	1.850978e-001
1.142756044102137e-003	7.814350e+000	-8.891064e+000	1.850477e-001
1.143581649343389e-003	7.846616e+000	-8.890944e+000	1.849517e-001
