v3	V(vin)	V(vo1)	V(vout)
6.999999999999973e+000	7.000000e+000	7.645918e+000	6.999642e+000
7.099999999999973e+000	7.100000e+000	7.746286e+000	7.099644e+000
7.199999999999973e+000	7.200000e+000	7.846649e+000	7.199646e+000
7.299999999999972e+000	7.300000e+000	7.947007e+000	7.299647e+000
7.399999999999972e+000	7.400000e+000	8.047359e+000	7.399649e+000
7.499999999999972e+000	7.500000e+000	8.147704e+000	7.499653e+000
7.599999999999971e+000	7.600000e+000	8.248035e+000	7.599663e+000
7.699999999999971e+000	7.700000e+000	8.348355e+000	7.699677e+000
7.799999999999971e+000	7.800000e+000	8.448654e+000	7.799702e+000
7.899999999999970e+000	7.900000e+000	8.513515e+000	7.923221e+000
7.999999999999970e+000	8.000000e+000	8.514119e+000	8.089343e+000
8.099999999999969e+000	8.100000e+000	8.514727e+000	8.255462e+000
8.199999999999969e+000	8.200000e+000	8.515337e+000	8.421544e+000
8.299999999999969e+000	8.300000e+000	8.515949e+000	8.587410e+000
8.399999999999968e+000	8.400000e+000	8.516206e+000	8.656545e+000
8.499999999999968e+000	8.500000e+000	8.516206e+000	8.656546e+000
8.599999999999968e+000	8.600000e+000	8.516206e+000	8.656546e+000
8.699999999999967e+000	8.700000e+000	8.516206e+000	8.656546e+000
8.799999999999967e+000	8.800000e+000	8.516206e+000	8.656546e+000
8.899999999999967e+000	8.900000e+000	8.516206e+000	8.656546e+000
8.999999999999966e+000	9.000000e+000	8.516206e+000	8.656546e+000
9.099999999999966e+000	9.100000e+000	8.516206e+000	8.656546e+000
9.199999999999966e+000	9.200000e+000	8.516206e+000	8.656546e+000
9.299999999999965e+000	9.300000e+000	8.516206e+000	8.656546e+000
9.399999999999965e+000	9.400000e+000	8.516206e+000	8.656546e+000
9.499999999999965e+000	9.500000e+000	8.516206e+000	8.656546e+000
9.599999999999964e+000	9.600000e+000	8.516206e+000	8.656546e+000
9.699999999999964e+000	9.700000e+000	8.516206e+000	8.656546e+000
9.799999999999963e+000	9.800000e+000	8.516206e+000	8.656546e+000
9.899999999999963e+000	9.900000e+000	8.516206e+000	8.656546e+000
1.000000000000000e+001	1.000000e+001	8.516206e+000	8.656546e+000
