time	V(vin)	V(voutoa)	V(voutr)
1.119907277349491e-003	8.209468e-001	8.192843e-001	9.886119e-005
1.129672902349491e-003	8.730722e-001	8.713863e-001	2.617869e-004
1.139438527349491e-003	9.219117e-001	9.202070e-001	6.470089e-004
1.149204152349491e-003	9.672812e-001	9.655625e-001	1.480525e-003
1.158969777349491e-003	1.009010e+000	1.007282e+000	3.106787e-003
1.168735402349491e-003	1.046941e+000	1.045208e+000	5.924282e-003
1.178501027349491e-003	1.080932e+000	1.079199e+000	1.021051e-002
1.188266652349491e-003	1.110855e+000	1.109126e+000	1.591939e-002
1.198032277349491e-003	1.136596e+000	1.134877e+000	2.261242e-002
1.207797902349491e-003	1.158060e+000	1.156354e+000	2.958317e-002
1.217563527349491e-003	1.175164e+000	1.173478e+000	3.606613e-002
1.227329152349491e-003	1.187846e+000	1.186182e+000	4.138703e-002
1.237094777349491e-003	1.196057e+000	1.194421e+000	4.505202e-002
1.246860402349491e-003	1.199767e+000	1.198162e+000	4.676749e-002
1.256626027349491e-003	1.198960e+000	1.197391e+000	4.639352e-002
1.266391652349491e-003	1.193641e+000	1.192112e+000	4.394845e-002
1.276157277349491e-003	1.183830e+000	1.182345e+000	3.963093e-002
1.285922902349491e-003	1.169562e+000	1.168125e+000	3.382859e-002
1.295688527349491e-003	1.150893e+000	1.149507e+000	2.710328e-002
1.305454152349491e-003	1.127892e+000	1.126561e+000	2.015104e-002
1.315219777349491e-003	1.100646e+000	1.099373e+000	1.373785e-002
1.324985402349491e-003	1.069258e+000	1.068045e+000	8.506007e-003
1.334751027349491e-003	1.033845e+000	1.032695e+000	4.759120e-003
1.344516652349491e-003	9.945405e-001	9.934568e-001	2.409774e-003
1.354282277349491e-003	9.514931e-001	9.504775e-001	1.112145e-003
1.364047902349491e-003	9.048645e-001	9.039189e-001	4.723451e-004
1.373813527349491e-003	8.548301e-001	8.539562e-001	1.863128e-004
1.383579152349491e-003	8.015784e-001	8.007774e-001	6.875752e-005
1.393344777349491e-003	7.453097e-001	7.445825e-001	2.387847e-005
1.403110402349491e-003	6.862358e-001	6.855832e-001	7.840922e-006
1.412876027349491e-003	6.245791e-001	6.240011e-001	2.444487e-006
1.432407277349491e-003	4.944543e-001	4.940243e-001	2.072144e-007
1.451938527349491e-003	3.568924e-001	3.566039e-001	1.507185e-008
1.471469777349491e-003	2.139626e-001	2.137968e-001	9.601862e-010
1.481235402349491e-003	1.411542e-001	1.410242e-001	2.232373e-010
1.491001027349491e-003	6.781451e-002	6.712550e-002	4.336735e-011
1.500766652349491e-003	-5.780400e-003	1.676326e-002	1.214138e-011
1.510532277349491e-003	-7.935355e-002	2.164605e-002	2.897326e-011
1.510784946648419e-003	-8.125436e-002	2.926000e-002	3.021526e-011
1.511290285246273e-003	-8.505537e-002	5.661420e-002	3.375902e-011
1.511695212559286e-003	-8.810049e-002	7.254951e-002	3.677603e-011
1.512077022470632e-003	-9.097124e-002	7.958956e-002	3.981812e-011
1.512519129580786e-003	-9.429470e-002	8.361036e-002	4.360423e-011
1.514047038593510e-003	-1.057747e-001	9.530811e-002	5.910444e-011
1.515473996424642e-003	-1.164875e-001	1.056375e-001	7.765107e-011
1.517551401960429e-003	-1.320664e-001	1.197139e-001	1.150286e-010
1.521312237478229e-003	-1.602107e-001	1.401655e-001	2.079030e-010
1.522864528131721e-003	-1.718021e-001	1.425195e-001	2.602376e-010
1.524202960682905e-003	-1.817835e-001	1.376566e-001	3.203670e-010
1.525976807287425e-003	-1.949921e-001	1.254327e-001	4.214540e-010
1.527894960895563e-003	-2.092479e-001	1.088871e-001	5.618531e-010
1.529773623593048e-003	-2.231807e-001	9.105571e-002	7.326204e-010
1.530487002983074e-003	-2.284634e-001	8.428892e-002	8.090800e-010
1.530802002325669e-003	-2.307945e-001	8.217478e-002	8.465001e-010
1.530936819151303e-003	-2.317920e-001	8.299861e-002	8.632390e-010
1.531040277056067e-003	-2.325573e-001	8.674185e-002	8.763867e-010
1.531147073480351e-003	-2.333472e-001	9.518319e-002	8.901828e-010
1.531264233482783e-003	-2.342136e-001	1.093411e-001	9.055725e-010
1.531407369388187e-003	-2.352720e-001	1.303102e-001	9.247246e-010
1.531560839323797e-003	-2.364066e-001	1.527017e-001	9.457390e-010
1.531796577496730e-003	-2.381489e-001	1.812994e-001	9.789749e-010
1.532085587129671e-003	-2.402842e-001	2.052529e-001	1.021308e-009
1.532479583027136e-003	-2.431940e-001	2.237179e-001	1.081796e-009
1.532883258175757e-003	-2.461737e-001	2.333385e-001	1.147327e-009
1.533366104978717e-003	-2.497357e-001	2.393739e-001	1.231419e-009
1.535002271913382e-003	-2.617886e-001	2.525915e-001	1.571788e-009
1.548213383416877e-003	-3.579858e-001	3.492770e-001	1.450455e-008
1.567744633416877e-003	-4.954977e-001	4.872056e-001	2.114489e-007
1.587275883416877e-003	-6.255569e-001	6.177063e-001	2.488992e-006
1.597041508416877e-003	-6.871752e-001	6.795663e-001	7.978214e-006
1.606807133416877e-003	-7.462071e-001	7.388631e-001	2.428367e-005
1.616572758416877e-003	-8.024304e-001	7.953752e-001	6.986545e-005
1.626338383416877e-003	-8.556336e-001	8.488938e-001	1.891281e-004
1.636104008416877e-003	-9.056163e-001	8.992177e-001	4.789607e-004
1.645869633416877e-003	-9.521906e-001	9.461594e-001	1.126348e-003
1.655635258416877e-003	-9.951810e-001	9.895424e-001	2.437206e-003
1.665400883416877e-003	-1.034426e+000	1.029204e+000	4.806037e-003
1.675166508416877e-003	-1.069777e+000	1.064996e+000	8.576281e-003
1.684932133416877e-003	-1.101102e+000	1.096783e+000	1.382987e-002
1.694697758416877e-003	-1.128283e+000	1.124446e+000	2.025705e-002
1.704463383416877e-003	-1.151217e+000	1.147881e+000	2.722027e-002
1.714229008416877e-003	-1.169818e+000	1.166998e+000	3.395191e-002
1.723994633416877e-003	-1.184017e+000	1.181727e+000	3.973069e-002
1.733760258416877e-003	-1.193758e+000	1.192010e+000	4.400145e-002
1.743525883416877e-003	-1.199007e+000	1.197810e+000	4.641047e-002
1.753291508416877e-003	-1.199743e+000	1.199103e+000	4.675907e-002
1.763057133416877e-003	-1.195964e+000	1.195885e+000	4.500753e-002
1.772822758416877e-003	-1.187683e+000	1.188167e+000	4.129605e-002
1.782588383416877e-003	-1.174932e+000	1.175977e+000	3.594969e-002
1.792354008416877e-003	-1.157759e+000	1.159362e+000	2.946860e-002
1.802119633416877e-003	-1.136228e+000	1.138384e+000	2.250418e-002
1.811885258416877e-003	-1.110421e+000	1.113120e+000	1.582147e-002
1.821650883416877e-003	-1.080434e+000	1.083667e+000	1.013230e-002
1.831416508416877e-003	-1.046381e+000	1.050134e+000	5.869599e-003
1.841182133416877e-003	-1.008390e+000	1.012649e+000	3.073361e-003
1.850947758416877e-003	-9.666029e-001	9.713533e-001	1.462514e-003
1.860713383416877e-003	-9.211780e-001	9.264019e-001	6.383274e-004
1.870479008416877e-003	-8.722861e-001	8.779652e-001	2.579827e-004
1.880244633416877e-003	-8.201110e-001	8.262264e-001	9.732529e-005
1.890010258416877e-003	-7.648492e-001	7.713819e-001	3.448836e-005
1.899775883416877e-003	-7.067087e-001	7.136399e-001	1.153823e-005
1.909541508416877e-003	-6.459083e-001	6.532205e-001	3.660644e-006
1.929072758416877e-003	-5.172523e-001	5.252892e-001	3.195084e-007
1.948604008416877e-003	-3.808164e-001	3.895998e-001	2.380207e-008
1.968135258416877e-003	-2.386526e-001	2.495128e-001	1.553287e-009
1.977900883416877e-003	-1.660885e-001	1.904885e-001	2.687335e-010
1.979987237347115e-003	-1.504954e-001	1.934721e-001	1.681608e-010
1.982068606401600e-003	-1.349137e-001	2.125667e-001	1.177615e-010
1.982694406529732e-003	-1.302239e-001	2.193802e-001	1.059120e-010
1.983320206657864e-003	-1.255324e-001	2.260269e-001	9.494368e-011
1.983946006785996e-003	-1.208390e-001	2.325070e-001	8.485651e-011
1.984571806914128e-003	-1.161438e-001	2.388203e-001	7.565051e-011
1.985197607042260e-003	-1.114467e-001	2.449668e-001	6.732568e-011
1.985823407170391e-003	-1.067479e-001	2.509466e-001	5.988202e-011
1.986449207298523e-003	-1.020472e-001	2.567597e-001	5.331954e-011
1.986696932414992e-003	-1.001860e-001	2.570626e-001	5.083033e-011
1.987016541318535e-003	-9.778443e-002	2.457271e-001	4.775361e-011
1.987284393996252e-003	-9.577145e-002	2.156746e-001	4.526884e-011
1.987424211315822e-003	-9.472057e-002	1.898810e-001	4.401538e-011
1.987593238357182e-003	-9.345006e-002	1.582161e-001	4.253975e-011
1.987709785988714e-003	-9.257396e-002	1.421595e-001	4.154370e-011
1.987841504891092e-003	-9.158375e-002	1.295139e-001	4.044293e-011
1.988009339650791e-003	-9.032195e-002	1.180548e-001	3.907174e-011
1.988183586150718e-003	-8.901183e-002	1.103369e-001	3.768833e-011
1.988455720779439e-003	-8.696551e-002	1.031412e-001	3.561111e-011
1.988865247829456e-003	-8.388558e-002	9.675423e-002	3.264834e-011
1.989399780959324e-003	-7.986469e-002	9.141274e-002	2.910045e-011
1.990418199165425e-003	-7.220144e-002	8.330647e-002	2.316007e-011
1.994419673699632e-003	-4.206605e-002	5.349441e-002	8.532100e-012
1.998583231038292e-003	-1.068205e-002	3.007196e-002	2.140271e-012
2.002255027454309e-003	1.700194e-002	3.209466e-002	2.961779e-012
2.006630612308100e-003	4.997918e-002	5.612179e-002	1.106750e-011
2.008162465174241e-003	6.151656e-002	6.000597e-002	1.608737e-011
2.008866799710324e-003	6.681952e-002	6.474259e-002	1.919171e-011
2.009242465460013e-003	6.964739e-002	6.965671e-002	2.106499e-011
2.009596701364403e-003	7.231358e-002	7.194750e-002	2.296845e-011
2.009971252010557e-003	7.513230e-002	7.398485e-002	2.509833e-011
2.010251152071005e-003	7.723843e-002	7.647838e-002	2.677591e-011
2.010540977275536e-003	7.941900e-002	7.851546e-002	2.859999e-011
2.010817736726509e-003	8.150102e-002	8.052316e-002	3.042457e-011
2.011135995312692e-003	8.389493e-002	8.301426e-002	3.263560e-011
2.011573541960064e-003	8.718556e-002	8.624579e-002	3.586758e-011
2.015858771073913e-003	1.194164e-001	1.184429e-001	-2.200842e-010
2.020144000187762e-003	1.515081e-001	1.504947e-001	-1.005301e-010
2.024429229301611e-003	1.834607e-001	1.824014e-001	3.945299e-010
2.028714458415460e-003	2.152741e-001	2.141628e-001	1.265096e-009
2.032999687529309e-003	2.469485e-001	2.457791e-001	2.511168e-009
2.037284916643158e-003	2.784837e-001	2.772501e-001	4.132745e-009
2.041570145757007e-003	3.098798e-001	3.085759e-001	6.129829e-009
2.061101395757007e-003	4.494600e-001	4.480361e-001	8.809712e-008
2.080632645757006e-003	5.822799e-001	5.807581e-001	1.097129e-006
2.090398270757006e-003	6.455256e-001	6.439619e-001	3.633124e-006
2.100163895757006e-003	7.063417e-001	7.047406e-001	1.145804e-005
2.109929520757006e-003	7.644992e-001	7.628655e-001	3.426214e-005
2.119695145757005e-003	8.197795e-001	8.181175e-001	9.672264e-005
2.129460770757005e-003	8.719742e-001	8.702888e-001	2.564887e-004
2.139226395757005e-003	9.208870e-001	9.191827e-001	6.349150e-004
2.148992020757005e-003	9.663338e-001	9.646153e-001	1.455427e-003
2.158757645757005e-003	1.008144e+000	1.006415e+000	3.060190e-003
2.168523270757004e-003	1.046159e+000	1.044426e+000	5.848022e-003
